Student_ID,Gender,Study_Hours_per_Week,Attendance_Percentage,Assignment_Score,Midterm_Score,Final_Score,Previous_GPA,Internet_Access,Family_Income
101,Female,15.0,85.0,78,74,80,7.5,Yes,45000
102,Male,8.0,60.0,55,50,58,6.2,No,30000
103,Female,20.0,92.0,88,85,90,8.4,Yes,60000
104,Male,5.0,45.0,40,35,42,5.5,No,25000
105,Female,12.0,75.0,70,68,72,7.0,Yes,40000
106,Male,25.0,98.0,95,93,97,9.1,Yes,85000
107,Female,18.0,88.0,82,79,85,8.0,Yes,52000
108,Male,2.0,30.0,25,20,28,4.8,No,20000
109,Female,14.0,80.0,76,74,78,7.3,Yes,47000
110,Male,30.0,100.0,100,98,99,9.8,Yes,150000
111,Female,,82.0,75,70,74,7.2,Yes,48000
112,Male,10.0,,65,60,68,6.8,No,35000
113,Female,16.0,90.0,85,88,92,8.6,Yes,62000
114,Male,7.0,55.0,50,48,52,6.0,No,28000
115,Female,22.0,95.0,90,92,94,9.0,Yes,78000
116,Male,3.0,40.0,35,30,38,5.2,No,22000
117,Female,19.0,89.0,84,82,88,8.3,Yes,54000
118,Male,11.0,70.0,68,65,70,6.9,Yes,39000
119,Female,13.0,78.0,72,70,75,7.1,Yes,42000
120,Male,50.0,105.0,110,108,115,10.5,Yes,200000
